NOMBRE,PROTEINAS_DIARIAS_G,CARBOHIDRATOS_DIARIOS_G,HIDRATACION_DIARIA_L,CALORIAS_DIARIAS,PLAN_NUTRICION
ALEX SUÁREZ,154,342,2.5,3863,Enfoque en recuperación muscular
LAUTARO DÍAZ,97,375,2.9,3192,Alto carbohidrato para rendimiento
ANDREW OMOBAMIDELE,157,386,3.7,3044,Equilibrado en macronutrientes
ALASSANE NDAO,119,267,4.5,3507,Alto carbohidrato para rendimiento
DAVID RAUM,134,355,3.0,2645,Plan mediterráneo adaptado
JUNIOR MESSIAS,189,319,5.0,3732,Equilibrado en macronutrientes
BANDER WHAESHI,151,418,2.8,2750,Alto carbohidrato para rendimiento
ÁNGEL GONZÁLEZ,138,215,2.8,2729,Enfoque en recuperación muscular
MAKSIM NENAKHOV,171,405,4.0,3576,Plan mediterráneo adaptado
BENJAMÍN MELLADO,104,429,2.9,2839,Equilibrado en macronutrientes
TIAGO DIAS,119,352,3.6,3388,"Alta proteína, moderado carbohidrato"
SVEN BOULAND,145,213,3.9,3442,Equilibrado en macronutrientes
CALEGARI,109,431,2.6,3645,Alto carbohidrato para rendimiento
ZENO DEBAST,164,307,2.9,2890,Plan mediterráneo adaptado
PABLO VEGETTI,117,433,3.1,2643,"Alta proteína, moderado carbohidrato"
ANDRÉS SCHETINO,187,258,3.0,3352,Enfoque en recuperación muscular
MARIANO MIÑO,128,281,3.1,2929,Equilibrado en macronutrientes
NAHUEL HERRERA,163,395,3.8,2983,Plan mediterráneo adaptado
AYRTON PORTILLO,197,293,3.7,2720,Equilibrado en macronutrientes
FERNANDO ALARCÓN,184,440,3.8,3747,"Alta proteína, moderado carbohidrato"
JUMAAN AL DOSARI,156,326,2.9,3117,"Alta proteína, moderado carbohidrato"
SIEBE HOREMANS,105,336,4.4,3815,"Alta proteína, moderado carbohidrato"
STANISLAV MAGKEEV,198,286,4.3,3381,Alto carbohidrato para rendimiento
RAMZI SOLAN,92,274,4.7,3992,Alto carbohidrato para rendimiento
FELIPE PEÑA BIAFORE,196,444,4.2,3330,Plan mediterráneo adaptado
SACHA BANSÉ,184,294,3.5,2894,Equilibrado en macronutrientes
ALEX DOUGLAS,132,214,4.3,2752,Alto carbohidrato para rendimiento
YUSUF ÖZDEMIR,178,328,3.5,2868,Equilibrado en macronutrientes
RODRIGO VÁSQUEZ,195,401,4.2,3679,Alto carbohidrato para rendimiento
BRYAN RABELLO,100,317,3.7,3392,Enfoque en recuperación muscular
AMIR SAYOUD,154,277,2.9,3425,Plan mediterráneo adaptado
LUCAS GONZÁLEZ,176,377,3.5,3619,Enfoque en recuperación muscular
ULISSES,158,206,3.2,3060,Enfoque en recuperación muscular
ILZAT AKHMETOV,83,302,4.8,3453,Alto carbohidrato para rendimiento
GIVAIRO READ,137,305,4.9,3645,Enfoque en recuperación muscular
MATTIJS BRANDERHORST,116,439,4.3,2521,"Alta proteína, moderado carbohidrato"
YACINE ADLI,173,319,4.1,2893,Plan mediterráneo adaptado
ALEXIS SOTO,178,426,2.9,3396,"Alta proteína, moderado carbohidrato"
EINAR BØE FAUSKANGER,169,224,4.2,3598,Alto carbohidrato para rendimiento
MAXWELL WOLEDZI,113,310,3.8,3946,"Alta proteína, moderado carbohidrato"
MAKSIM VITYUGOV,174,363,4.1,3802,Plan mediterráneo adaptado
LEANDRO NAVARRO,125,390,4.1,3938,Plan mediterráneo adaptado
DANIL KRUGOVOY,194,284,3.5,3832,Plan mediterráneo adaptado
IVAN DJANTOU,126,351,4.1,3065,Alto carbohidrato para rendimiento
SULTAN MANDASH,88,377,4.7,3551,Plan mediterráneo adaptado
MARIO MARTÍN,183,353,4.2,2529,Alto carbohidrato para rendimiento
JUAN GARRO,155,257,4.5,2507,Plan mediterráneo adaptado
EDINSON CAVANI,133,263,4.2,3680,Enfoque en recuperación muscular
GUILLERMO MAY,90,246,2.5,3705,Alto carbohidrato para rendimiento
BRADLEY BARCOLA,109,284,3.8,3662,Alto carbohidrato para rendimiento
BILAL MAZHAR,148,296,4.4,2913,Alto carbohidrato para rendimiento
MARCO RENTE,122,284,4.1,2554,Alto carbohidrato para rendimiento
GASTÓN BUENO,139,403,3.3,3804,Enfoque en recuperación muscular
CRISTIAN LEMA,185,447,4.2,3728,"Alta proteína, moderado carbohidrato"
NICOLÁS SUMAVIL,127,374,3.4,2983,Alto carbohidrato para rendimiento
ALEXIS SAELEMAEKERS,136,408,3.7,2912,Alto carbohidrato para rendimiento
LUCIANO,159,420,3.3,3735,Alto carbohidrato para rendimiento
ABDULAZIZ AL-ALIWA,107,356,2.7,3415,Equilibrado en macronutrientes
RAYAN SENHADJI,117,266,3.8,2606,Plan mediterráneo adaptado
YARLEN,151,304,2.9,3018,Plan mediterráneo adaptado
ROBERT BOZENIK,93,444,3.4,3043,Alto carbohidrato para rendimiento
AYRTON CASTRO,120,411,3.2,3093,Alto carbohidrato para rendimiento
KNOWLEDGE MUSONA,177,229,2.6,3074,Equilibrado en macronutrientes
JAKOB NAPOLEON ROMSAAS,107,263,4.6,3762,"Alta proteína, moderado carbohidrato"
SAMBA CAMARA,175,391,2.7,3065,Plan mediterráneo adaptado
ISAAC SOLET,152,325,2.7,2954,Alto carbohidrato para rendimiento
NICOLÁS BENEGAS,96,339,3.0,2953,"Alta proteína, moderado carbohidrato"
MARKO DIVKOVIC,112,224,3.1,3745,Enfoque en recuperación muscular
MATS ROTS,94,439,2.5,3305,Enfoque en recuperación muscular
NHOA SANGUI,133,395,3.7,3569,Alto carbohidrato para rendimiento
PAU LÓPEZ,181,280,2.6,3592,Equilibrado en macronutrientes
RUBEN ROOSKEN,173,219,3.1,3846,Equilibrado en macronutrientes
MAMADOU THIERNO BARRY,161,280,3.6,2836,Plan mediterráneo adaptado
STANISLAV AGKATSEV,179,221,4.0,3010,Equilibrado en macronutrientes
LUDWIG AUGUSTINSSON,80,318,4.9,3349,"Alta proteína, moderado carbohidrato"
MAHMOUD DAHOUD,114,292,3.5,2897,Alto carbohidrato para rendimiento
OUSMANE TOURÉ,122,370,3.9,3174,Alto carbohidrato para rendimiento
BERNARDO,185,409,2.8,3602,"Alta proteína, moderado carbohidrato"
AGUSTÍN URZI,159,262,3.1,3108,Plan mediterráneo adaptado
MARCOS MONTIEL,143,284,3.3,3617,"Alta proteína, moderado carbohidrato"
DMITRIY PESTRYAKOV,100,262,3.6,3536,Enfoque en recuperación muscular
TINGA,153,327,2.8,3076,Enfoque en recuperación muscular
ANDERS TRONDSEN,93,416,3.7,3544,Enfoque en recuperación muscular
MÁXIMO OSÉS,135,329,4.7,3535,Plan mediterráneo adaptado
RYOYA OGAWA,192,270,4.2,3414,Enfoque en recuperación muscular
GIULIANO GALOPPO,166,309,3.1,2584,Plan mediterráneo adaptado
TARIQ LAMPTEY,128,328,2.6,3565,"Alta proteína, moderado carbohidrato"
LIRIM QAMILI,191,413,3.5,2862,Enfoque en recuperación muscular
ISAAK TOURÉ,137,240,4.8,3366,Equilibrado en macronutrientes
OLA AINA,161,288,2.9,2665,Plan mediterráneo adaptado
ÉVER BANEGA,120,386,3.4,3183,"Alta proteína, moderado carbohidrato"
OSKAR SIVERTSEN,122,216,4.4,3715,Equilibrado en macronutrientes
THEO BERGVALL,115,449,4.9,3575,Equilibrado en macronutrientes
EVGENIY CHERNOV,163,247,4.3,2920,Equilibrado en macronutrientes
EDMOND TAPSOBA,122,214,3.5,2880,"Alta proteína, moderado carbohidrato"
TIAGO SERRAGO,193,294,2.8,3784,Alto carbohidrato para rendimiento
MARCELO,130,263,3.0,3187,"Alta proteína, moderado carbohidrato"
HJALMAR EKDAL,146,368,3.3,3136,Equilibrado en macronutrientes
TARIQ ABDULLAH,194,424,3.3,3926,Alto carbohidrato para rendimiento
ANDER GUEVARA,90,449,3.5,3827,Plan mediterráneo adaptado
ROMÉO LAVIA,139,242,4.8,2701,"Alta proteína, moderado carbohidrato"
BRAIAN MARTÍNEZ,94,410,2.7,3201,Plan mediterráneo adaptado
ELYSÉE LOGBO,116,291,4.7,3097,Plan mediterráneo adaptado
KEINAN DAVIS,101,347,4.1,3943,Equilibrado en macronutrientes
MANEL ROYO,149,449,3.1,3314,Equilibrado en macronutrientes
RYOTARO TSUNODA,190,428,4.0,3987,Alto carbohidrato para rendimiento
GUILLERMO DE AMORES,164,370,2.6,3229,"Alta proteína, moderado carbohidrato"
PONTUS ALMQVIST,91,346,4.7,2632,Enfoque en recuperación muscular
FERNANDO MARTÍNEZ,160,244,3.7,3621,"Alta proteína, moderado carbohidrato"
AXEL HENRIKSSON,181,444,4.7,3235,Alto carbohidrato para rendimiento
OMAR ALDERETE,137,441,3.7,2718,Enfoque en recuperación muscular
SAUD ABDULHAMID,181,420,4.6,2575,Plan mediterráneo adaptado
ADAM STÅHL,176,233,2.6,2567,Enfoque en recuperación muscular
ALI AL-BULAYHI,178,316,3.6,3661,Enfoque en recuperación muscular
MARTIN VETKAL,165,303,2.9,2648,Equilibrado en macronutrientes
GONZALO FREITAS,101,308,3.9,3718,Plan mediterráneo adaptado
RIQUELME,199,423,2.7,2902,Equilibrado en macronutrientes
ALI DEMBÉLÉ,138,207,4.5,2899,Plan mediterráneo adaptado
FANIEL TEWELDE,198,229,2.8,3780,Equilibrado en macronutrientes
GERMAN IGNATOV,99,290,3.3,3965,Alto carbohidrato para rendimiento
CLAUDIO GONZÁLEZ,148,204,3.6,3727,Alto carbohidrato para rendimiento
DANIEL PIÑA,183,359,2.7,2657,Alto carbohidrato para rendimiento
SIMONE SCUFFET,124,320,5.0,3948,Plan mediterráneo adaptado
KARIM ONISIWO,102,289,2.7,3362,Enfoque en recuperación muscular
ARIF BOŞLUK,125,410,3.2,3865,Plan mediterráneo adaptado
ZITO LUVUMBO,121,399,4.7,3914,Enfoque en recuperación muscular
POYRAZ YILDIRIM,146,247,2.7,3283,Alto carbohidrato para rendimiento
SIMON THERN,153,385,4.8,2827,Plan mediterráneo adaptado
MARNON BUSCH,159,347,3.7,3786,Enfoque en recuperación muscular
SEBASTIÁN LEYTON,174,379,3.6,2744,Alto carbohidrato para rendimiento
HAKIM SAHABO,166,242,3.4,3271,Alto carbohidrato para rendimiento
ELIA CAPRILE,92,410,4.9,3931,Equilibrado en macronutrientes
OLIVIER DUMONT,112,257,3.0,3458,Plan mediterráneo adaptado
SANTERI VÄÄNÄNEN,152,265,2.9,3865,"Alta proteína, moderado carbohidrato"
ALESSANDRO ZANOLI,189,246,3.4,2866,"Alta proteína, moderado carbohidrato"
THIAGO ALMADA,187,396,2.7,3655,Enfoque en recuperación muscular
RICARDO VELHO,159,429,4.8,3924,Enfoque en recuperación muscular
ROMAN DIXON,188,410,4.0,3483,Plan mediterráneo adaptado
TINO KADEWERE,158,284,3.2,3608,Alto carbohidrato para rendimiento
LUCAS SOUTO,189,388,3.5,2731,Enfoque en recuperación muscular
WESLEY FOFANA,169,258,2.9,3359,Alto carbohidrato para rendimiento
JUAN BISANZ,154,279,4.2,3289,Equilibrado en macronutrientes
LUKA GAGNIDZE,168,375,4.8,3947,Enfoque en recuperación muscular
OLIVER RAMIS,154,296,2.9,3616,Enfoque en recuperación muscular
JAVI LÓPEZ,192,269,3.8,3963,Equilibrado en macronutrientes
DONNY VAN DE BEEK,152,272,4.4,3103,"Alta proteína, moderado carbohidrato"
HERMAN STENGEL,98,422,2.7,3786,Alto carbohidrato para rendimiento
JAKA BIJOL,133,315,3.4,3555,Enfoque en recuperación muscular
DANTE VANZEIR,129,361,3.5,3150,"Alta proteína, moderado carbohidrato"
LAUTARO RIVERO,108,351,3.7,2916,Plan mediterráneo adaptado
MATTHEW GARBETT,97,414,4.5,3245,Equilibrado en macronutrientes
PETAR STOJANOVIĆ,86,360,3.0,3279,Enfoque en recuperación muscular
RAILAN,128,390,3.9,2590,Equilibrado en macronutrientes
PHILIPP TREU,160,286,5.0,3501,Alto carbohidrato para rendimiento
MAKSIM KUZMIN,166,377,3.4,2580,Enfoque en recuperación muscular
ANTONIO KUJUNDZIC,172,280,4.7,3258,Enfoque en recuperación muscular
BRUNO ONYEMAECHI,145,278,3.5,2698,Alto carbohidrato para rendimiento
GUILHERME MONTÓIA,151,262,4.2,2836,Plan mediterráneo adaptado
SANTIAGO RAMÍREZ,124,439,3.0,2827,Alto carbohidrato para rendimiento
JUAN JESUS,169,321,4.1,2510,Plan mediterráneo adaptado
MOHAMMED AL-BURAYK,110,428,4.4,3913,Equilibrado en macronutrientes
BRICE SAMBA,90,373,3.3,2972,Enfoque en recuperación muscular
EVAN NDICKA,160,325,3.5,3937,Alto carbohidrato para rendimiento
ESTEBAN MATUS,198,384,3.1,3354,"Alta proteína, moderado carbohidrato"
DYLAN VENTE,159,415,4.4,3754,"Alta proteína, moderado carbohidrato"
RODRI,84,442,4.1,3642,Enfoque en recuperación muscular
MICHAEL BRESSER,122,336,2.6,3148,Equilibrado en macronutrientes
PEDRO SÁNCHEZ,188,434,4.9,2810,Equilibrado en macronutrientes
DENIZ UNDAV,124,347,4.4,2590,"Alta proteína, moderado carbohidrato"
JULIO CASTRO,92,361,4.2,3730,Equilibrado en macronutrientes
FREDRIK MIDTSJØ,194,247,4.1,3074,Plan mediterráneo adaptado
ALEXANDER MILOSEVIC,188,224,4.3,3924,"Alta proteína, moderado carbohidrato"
BRAHIAN PALACIOS,86,247,2.6,2524,Enfoque en recuperación muscular
YONATHAN CABRAL,111,334,2.9,3864,Equilibrado en macronutrientes
JÉRÉMY JACQUET,178,328,3.3,3696,Plan mediterráneo adaptado
NAHUEL GALLARDO,162,390,3.0,3511,Enfoque en recuperación muscular
NICOLAS JACKSON,148,272,4.2,3542,"Alta proteína, moderado carbohidrato"
ZIYAD AL-SAHAFI,132,242,3.9,3977,Alto carbohidrato para rendimiento
TANNER TESSMANN,196,335,5.0,2612,Plan mediterráneo adaptado
GIORGIY SHELIA,171,394,4.5,3957,Equilibrado en macronutrientes
ANRIE CHASE,175,297,3.5,3037,"Alta proteína, moderado carbohidrato"
OHI OMOIJUANFO,196,313,3.1,2601,Plan mediterráneo adaptado
LUCAS VENNEGOOR OF HESSELINK,158,283,4.9,2614,Enfoque en recuperación muscular
VITINHO MOTA,128,337,4.1,3909,Plan mediterráneo adaptado
CRISTÓBAL CASTILLO,130,437,3.0,2568,Equilibrado en macronutrientes
NORMAN CAMPBELL,142,364,3.2,2633,Equilibrado en macronutrientes
ANTOINE MENDY,143,369,4.2,2983,"Alta proteína, moderado carbohidrato"
JARZINHO MALANGA,85,377,3.5,3936,Alto carbohidrato para rendimiento
FEDERICO MORENO,153,212,3.4,3182,Enfoque en recuperación muscular
ALBERT GRØNBAEK,82,302,4.3,3740,Equilibrado en macronutrientes
KENAN ÖZER,115,381,3.0,2896,Enfoque en recuperación muscular
JOSIP JURANOVIC,140,345,4.2,3233,Equilibrado en macronutrientes
MATHIAS KVISTGAARDEN,179,349,3.9,3838,Alto carbohidrato para rendimiento
LEO GREIML,119,353,3.4,2998,"Alta proteína, moderado carbohidrato"
JUAN CARDOZO,110,338,3.6,2689,Equilibrado en macronutrientes
MILTON CÉLIZ,183,384,2.8,2510,Enfoque en recuperación muscular
LOUIS PATRIS,191,415,4.8,3410,Alto carbohidrato para rendimiento
PABLO IBÁÑEZ,149,225,4.8,3636,Plan mediterráneo adaptado
FRANCESCO ZAMPANO,111,259,2.5,2730,Equilibrado en macronutrientes
AMINE LACHKAR,116,433,4.2,2698,Equilibrado en macronutrientes
JAN VAN DEN BERGH,194,319,2.8,3501,Equilibrado en macronutrientes
LUCAS MENOSSI,175,260,4.2,3459,Alto carbohidrato para rendimiento
OLEKSANDR PETRUSENKO,104,409,2.8,3650,"Alta proteína, moderado carbohidrato"
KEITA KOSUGI,195,360,3.2,3758,Alto carbohidrato para rendimiento
ANTONIO RÜDIGER,181,319,3.3,3925,Alto carbohidrato para rendimiento
IVAN NIKOLOV,170,305,4.8,3416,"Alta proteína, moderado carbohidrato"
GONZALO SOSA,120,249,3.5,3888,"Alta proteína, moderado carbohidrato"
AHMED BAMSAUD,191,339,2.7,3946,Plan mediterráneo adaptado
KAORU MITOMA,105,445,4.5,3676,Enfoque en recuperación muscular
MATTIAS SVANBERG,169,291,3.0,3742,Equilibrado en macronutrientes
FACUNDO QUIGNÓN,92,346,5.0,3257,Enfoque en recuperación muscular
RAMIRO CRISTÓBAL,136,345,4.8,3170,Enfoque en recuperación muscular
FERNANDO,88,348,2.7,2997,Plan mediterráneo adaptado
HOUSSEM AOUAR,170,351,2.7,2620,Equilibrado en macronutrientes
AARON OLANARE,184,418,4.9,3628,Enfoque en recuperación muscular
RODRIGO CABRERA,107,305,4.8,3031,"Alta proteína, moderado carbohidrato"
PEDRO CHIRIVELLA,125,377,3.0,3859,Plan mediterráneo adaptado
NELSON SEPÚLVEDA,81,331,4.3,3445,Equilibrado en macronutrientes
ALEX VIGO,179,343,3.5,3149,Plan mediterráneo adaptado
FILIP MARCHWINSKI,175,295,4.3,3561,Enfoque en recuperación muscular
BIRKAN TETIK,86,242,4.3,3473,Enfoque en recuperación muscular
CHRISTOPHER TRIMMEL,132,441,4.2,3645,Enfoque en recuperación muscular
ALEXIS SÁNCHEZ,192,250,4.4,2657,"Alta proteína, moderado carbohidrato"
CAMPANHARO,154,299,4.9,3753,Alto carbohidrato para rendimiento
GABRIEL FUENTES,116,434,3.7,3673,Alto carbohidrato para rendimiento
IGNACIO LEMMO,96,293,3.9,3707,"Alta proteína, moderado carbohidrato"
MAURICIO CARDILLO,90,410,3.7,3485,Equilibrado en macronutrientes
DENIZ GÜL,153,238,3.6,2735,Enfoque en recuperación muscular
TANGUY COULIBALY,117,328,3.3,3260,Equilibrado en macronutrientes
ANDREY LANGOVICH,182,367,3.9,3870,Enfoque en recuperación muscular
SEBASTIÁN FERNÁNDEZ,149,416,4.5,3185,"Alta proteína, moderado carbohidrato"
TRAVASSOS,144,258,3.0,3926,Alto carbohidrato para rendimiento
TAYFUN AYDOĞAN,90,204,3.7,3400,Enfoque en recuperación muscular
NICOLÁS ROMERO,199,417,2.6,2931,"Alta proteína, moderado carbohidrato"
MIHAILO RISTIC,170,311,4.9,3977,Plan mediterráneo adaptado
NERAYSHO KASANWIRJO,171,326,3.2,3167,Enfoque en recuperación muscular
ALEKSEY BATRAKOV,166,445,4.4,3367,"Alta proteína, moderado carbohidrato"
MARCO CAMPAGNARO,141,283,4.9,3951,Plan mediterráneo adaptado
BARAN GEZEK,127,324,4.2,2645,Alto carbohidrato para rendimiento
LUCCA DRUMMOND,129,210,3.9,2937,Alto carbohidrato para rendimiento
LAUTARO BLANCO,95,394,3.1,3368,Enfoque en recuperación muscular
FACUNDO CAMBESES,99,382,4.3,2623,Enfoque en recuperación muscular
GIJS BESSELINK,182,296,5.0,3221,Enfoque en recuperación muscular
MIGUEL SOUSA,164,206,4.3,2596,Equilibrado en macronutrientes
DAVY VAN DEN BERG,185,409,2.7,3612,Alto carbohidrato para rendimiento
KEVIN MARTINS,193,347,4.5,3985,Plan mediterráneo adaptado
SEBASTIÁN VALENCIA,93,361,4.6,3503,Equilibrado en macronutrientes
JESPER GUSTAVSSON,195,330,2.6,3732,"Alta proteína, moderado carbohidrato"
NICOLÁS VALLEJO,113,272,4.2,3060,Alto carbohidrato para rendimiento
RUBENS,158,374,4.7,2576,Plan mediterráneo adaptado
RÚBEN MACEDO,155,225,4.1,2998,Plan mediterráneo adaptado
BRAGE SKARET,96,344,3.5,3387,Enfoque en recuperación muscular
JONAS SVENSSON,137,253,2.5,3527,Alto carbohidrato para rendimiento
MANOLIS SALIAKAS,80,278,3.3,2886,Equilibrado en macronutrientes
EMRE AKBABA,84,445,2.8,3214,Plan mediterráneo adaptado
MAURICIO GÓMEZ,176,360,2.9,3109,"Alta proteína, moderado carbohidrato"
EWAN HENDERSON,192,385,3.9,3189,Equilibrado en macronutrientes
YOUNES TAHA,114,305,3.4,3617,Alto carbohidrato para rendimiento
MOHAMMED AL-KUWAYKIBI,144,332,3.2,3413,Equilibrado en macronutrientes
KEVIN AKPOGUMA,83,362,4.6,3307,Plan mediterráneo adaptado
DENIS KOLINGER,154,202,3.2,3747,Plan mediterráneo adaptado
LUCAS FRANÇA,126,273,3.6,3728,Enfoque en recuperación muscular
GABRIEL OSHO,159,231,3.6,2944,Enfoque en recuperación muscular
JORREL HATO,156,306,3.0,3622,Enfoque en recuperación muscular
ISAK JENSEN,166,394,3.8,3989,Alto carbohidrato para rendimiento
EVEN HOVLAND,179,339,4.3,2661,"Alta proteína, moderado carbohidrato"
SERGEY GRIBOV,94,300,2.8,3519,Alto carbohidrato para rendimiento
MARTIN KOSCELNÍK,123,266,3.1,3147,Equilibrado en macronutrientes
NAHUEL ESTÉVEZ,170,306,3.3,3668,"Alta proteína, moderado carbohidrato"
JOSÉ FONTÁN,139,307,3.6,2752,"Alta proteína, moderado carbohidrato"
OMAR RICHARDS,127,237,4.9,3265,"Alta proteína, moderado carbohidrato"
AXEL CAMBLAN,83,396,2.8,3706,"Alta proteína, moderado carbohidrato"
HAMILTON PEREIRA,140,446,3.4,3291,Plan mediterráneo adaptado
JONATHAN,101,371,4.6,2653,"Alta proteína, moderado carbohidrato"
KENEDY,117,282,2.9,3266,Equilibrado en macronutrientes
VALENTIN GENDREY,182,327,2.8,2547,Equilibrado en macronutrientes
VICTOR JENSEN,169,215,3.9,2623,Enfoque en recuperación muscular
JOÃO VICTOR,150,308,3.3,3577,Enfoque en recuperación muscular
JUAN FRANCO,160,304,3.4,2825,Enfoque en recuperación muscular
THIJS DALLINGA,88,328,3.0,2662,Equilibrado en macronutrientes
HILMIR RAFN MIKAELSSON,120,263,3.7,3594,"Alta proteína, moderado carbohidrato"
MARTÍN GARAY,92,315,4.0,3617,Equilibrado en macronutrientes
AYOUB ALEESAMI,175,441,4.6,3545,Equilibrado en macronutrientes
ENES ÖĞRÜCE,106,284,3.7,2684,"Alta proteína, moderado carbohidrato"
BRUNO DAMIANI,153,261,4.8,3038,Alto carbohidrato para rendimiento
NATÃ,99,342,3.4,2886,"Alta proteína, moderado carbohidrato"
SIMEN RAFN,129,433,4.4,3442,Equilibrado en macronutrientes
DENIS ZAKARIA,160,266,4.4,3221,Alto carbohidrato para rendimiento
KARL TOKO EKAMBI,188,236,3.6,3726,Equilibrado en macronutrientes
MAXIMILIAN BAUER,98,388,2.9,3181,Equilibrado en macronutrientes
JEAN-RICNER BELLEGARDE,104,347,4.4,2599,Enfoque en recuperación muscular
KAMILCAN SEVER,80,392,3.2,2960,"Alta proteína, moderado carbohidrato"
FODÉ BALLO-TOURÉ,145,413,4.7,2569,Plan mediterráneo adaptado
ANTONIO RAIMONDO,198,309,4.1,3855,Equilibrado en macronutrientes
SHAVY BABICKA,83,381,4.2,2595,Equilibrado en macronutrientes
JASON DENAYER,129,389,2.6,3733,Plan mediterráneo adaptado
JORDAN PICKFORD,184,278,2.8,3905,Equilibrado en macronutrientes
THOMAS OUWEJAN,177,386,4.8,2967,Enfoque en recuperación muscular
DANIËL VAN KAAM,88,326,4.2,2554,"Alta proteína, moderado carbohidrato"
IKER MUNIAIN,117,225,4.3,3920,Enfoque en recuperación muscular
KIRILL PANCHENKO,141,329,2.9,3056,"Alta proteína, moderado carbohidrato"
JUAN IRIBARREN,149,242,4.1,2721,Alto carbohidrato para rendimiento
MIKKEL DUELUND,177,400,4.8,3176,Alto carbohidrato para rendimiento
DANILO CÓCCARO,129,329,4.2,3695,Enfoque en recuperación muscular
IGNACIO RUSSO,194,384,3.4,3583,Alto carbohidrato para rendimiento
ABDOULAYE TOURÉ,161,281,4.1,3204,Enfoque en recuperación muscular
JAILSON,116,291,4.0,3107,"Alta proteína, moderado carbohidrato"
ZECA,183,264,3.0,2689,Alto carbohidrato para rendimiento
JON MAGUNAZELAIA,164,431,4.4,2901,Alto carbohidrato para rendimiento
NUNO SANTOS,152,240,3.2,3832,Alto carbohidrato para rendimiento
PEDRO GEROMEL,164,340,4.2,2519,Enfoque en recuperación muscular
JP,146,390,4.2,3176,"Alta proteína, moderado carbohidrato"
RODRIGO CONTRERAS,145,330,3.0,2713,"Alta proteína, moderado carbohidrato"
DANIELE RUGANI,84,323,3.9,2912,Enfoque en recuperación muscular
LUCAS SANSEVIERO,168,432,4.2,3091,Equilibrado en macronutrientes
SONTJE HANSEN,115,409,3.5,2970,Plan mediterráneo adaptado
DANGO OUATTARA,168,206,3.9,3199,Plan mediterráneo adaptado
HENRIK MEISTER,185,279,5.0,3838,Plan mediterráneo adaptado
EMMANUEL KAKOU,110,247,3.7,3311,Alto carbohidrato para rendimiento
SAMÚ COSTA,107,218,4.7,2850,Equilibrado en macronutrientes
MATÍAS TAGLIAMONTE,199,336,3.5,3217,Equilibrado en macronutrientes
STELIOS ANDREOU,170,412,4.4,3007,Plan mediterráneo adaptado
SAM ROGERS,116,240,2.7,2615,Equilibrado en macronutrientes
BRUNO ANTÚNEZ,180,405,3.2,3995,Alto carbohidrato para rendimiento
DENSO KASIUS,84,243,4.8,3571,"Alta proteína, moderado carbohidrato"
LEONARDO SIGALI,87,241,3.0,3872,"Alta proteína, moderado carbohidrato"
CALEB KPORHA,190,346,4.4,3999,Enfoque en recuperación muscular
AMINE TALAL,198,353,4.5,2796,"Alta proteína, moderado carbohidrato"
WESTON MCKENNIE,108,287,4.9,3290,Equilibrado en macronutrientes
GAUTIER LARSONNEUR,109,445,4.2,2717,"Alta proteína, moderado carbohidrato"
SEBASTIAN HOLMÉN,191,413,4.5,3851,Alto carbohidrato para rendimiento
WILLY KAMBWALA,107,248,4.1,2673,Plan mediterráneo adaptado
FABRICIO IACOVICH,152,421,4.6,3453,"Alta proteína, moderado carbohidrato"
JESPER CEESAY,183,429,4.1,3171,Equilibrado en macronutrientes
ALEKSANDER DAMNJANOVIC,120,383,2.7,3156,Enfoque en recuperación muscular
MUSAH MOHAMMED,154,215,4.4,3760,Enfoque en recuperación muscular
PIERRE-EMILE HØJBJERG,178,430,3.0,3863,Enfoque en recuperación muscular
MANU,164,263,4.8,3401,Equilibrado en macronutrientes
ALEJANDRO POZUELO,157,315,3.7,3527,Enfoque en recuperación muscular
SEBASTIÁN RAMÍREZ,129,260,4.6,3838,Plan mediterráneo adaptado
MATÍAS ACEVEDO,173,383,3.9,3644,Plan mediterráneo adaptado
PATRICK JOOSTEN,197,437,4.4,3809,Enfoque en recuperación muscular
RUBÉN FARFÁN,177,403,4.4,3915,Plan mediterráneo adaptado
AMBROSE OCHIGBO,127,410,4.4,2926,Equilibrado en macronutrientes
EMERSON ROYAL,91,351,4.6,3903,Alto carbohidrato para rendimiento
CRISTIAN DEVENISH,162,373,4.4,2987,Plan mediterráneo adaptado
LEO SAUER,84,220,4.2,3926,Enfoque en recuperación muscular
JACOB BARRETT LAURSEN,82,357,3.2,3858,"Alta proteína, moderado carbohidrato"
LUKA MODRIC,171,253,2.8,3472,Alto carbohidrato para rendimiento
DIEGO NÚÑEZ,183,403,2.8,2807,Equilibrado en macronutrientes
GABRIEL,181,405,3.9,3129,"Alta proteína, moderado carbohidrato"
SAMSON TIJANI,198,221,4.7,3834,Equilibrado en macronutrientes
ALEXANDER DJIKU,177,346,3.6,3769,Equilibrado en macronutrientes
MARIANO TROILO,159,222,4.6,2972,"Alta proteína, moderado carbohidrato"
ABDULKARIM DARISI,128,433,3.0,3922,Equilibrado en macronutrientes
ZÉ HUGO,88,213,3.7,3178,"Alta proteína, moderado carbohidrato"
WESSEL KUHN,173,381,2.5,2861,"Alta proteína, moderado carbohidrato"
HEVERTTON,128,254,4.9,3479,Alto carbohidrato para rendimiento
WILLIAM KENNDAL,138,365,2.9,3134,Enfoque en recuperación muscular
DAVID LÓPEZ,183,210,3.9,3770,Equilibrado en macronutrientes
